,Open,Date,High,Low,Close,Volume
0,219.4100037,5/18/2012 0:00,212.8099976,219.6300049,213.8500061,5231700
1,214.0299988,5/21/2012 0:00,212.8200073,219.9799957,218.1100006,3579800
2,218.3099976,5/22/2012 0:00,213.9600067,218.8699951,215.3300018,3733100
3,214.7100067,5/23/2012 0:00,211.1799927,217.5500031,217.2799988,4243800
4,216.9799957,5/24/2012 0:00,212.6999969,217.6600037,215.2400055,3141100
5,214.9900055,5/25/2012 0:00,212.2200012,215.9799957,212.8899994,2171400
6,214.3000031,5/29/2012 0:00,212.2899933,216.5500031,214.75,2693900
7,212.1399994,5/30/2012 0:00,207.75,212.9799957,209.2299957,4078200
8,209.4799957,5/31/2012 0:00,207.1100006,213.7899933,212.9100037,4944000
9,208.4400024,6/1/2012 0:00,207.3000031,211.2299957,208.2200012,3951500
10,207.3999939,6/4/2012 0:00,206.3699951,215.3500061,214.5700073,4299600
11,213.8500061,6/5/2012 0:00,211.1600037,216.8600006,213.2100067,3543900
12,214.6300049,6/6/2012 0:00,214.5200043,218.3999939,217.6399994,2710100
13,219.6499939,6/7/2012 0:00,218.1100006,221.4900055,218.8000031,3503900
14,218.6100006,6/8/2012 0:00,216.6600037,219.4199982,218.4799957,2877000
15,217.4900055,6/11/2012 0:00,215.1999969,220.8699951,216.5,3749100
16,217.6499939,6/12/2012 0:00,214.5200043,218,216.4199982,2833300
17,215.5200043,6/13/2012 0:00,213.5200043,217.3800049,214.7299957,2325200
18,215.2599945,6/14/2012 0:00,212.5599976,216.5,214.4499969,3060900
19,215.2899933,6/15/2012 0:00,214.4600067,219.3300018,218.3500061,3785200
20,217.2799988,6/18/2012 0:00,216.7299957,223.7599945,222.6600037,3369600
21,223.2599945,6/19/2012 0:00,221.6600037,225.1999969,224.0299988,2716600
22,224.5099945,6/20/2012 0:00,220.8399963,224.7400055,223.0200043,2444400
23,223.8399963,6/21/2012 0:00,220.5200043,226.0299988,220.5700073,2843000
24,221.8300018,6/22/2012 0:00,219.3500061,222.5099945,222.1600037,2187500
25,220.3000031,6/25/2012 0:00,218,221.5899963,220.0700073,2382300
26,221.4499969,6/26/2012 0:00,221.4499969,226.3899994,225.6100006,3754100
27,225.0099945,6/27/2012 0:00,223.3000031,227.5,225.6199951,2799200
28,223.9199982,6/28/2012 0:00,218.75,224.6199951,221.3099976,2994800
29,224.6999969,6/29/2012 0:00,223.7100067,228.3500061,228.3500061,3614400
30,229.3000031,7/2/2012 0:00,226.3399963,229.3399963,229.3200073,2330700
31,229.1399994,7/3/2012 0:00,227.5899963,229.5299988,229.5299988,1331700
32,228.6199951,7/5/2012 0:00,226.5299988,230.5,227.0599976,2682300
33,226.3500061,7/6/2012 0:00,224.1799927,228.8999939,225.0500031,3203200
34,225,7/9/2012 0:00,223.4499969,226,225.0500031,1922000
35,226.25,7/10/2012 0:00,218.2799988,227.1399994,219.5,2982100
36,218.9499969,7/11/2012 0:00,215.3399963,221.7400055,218.3699951,2734700
37,216.6100006,7/12/2012 0:00,212.6100006,217.3000031,215.3600006,2616200
38,215.6300049,7/13/2012 0:00,213.8800049,219.3099976,218.3899994,2221900
39,216.6000061,7/16/2012 0:00,214.4600067,218.3099976,216.0099945,2004200
40,217.4499969,7/17/2012 0:00,213.9600067,217.9400024,216.9299927,1987000
41,216.1499939,7/18/2012 0:00,215.7100067,218.6699982,217.4700012,2093000
42,220.7299957,7/19/2012 0:00,220.6900024,227.5,226.1699982,5449400
43,225.3600006,7/20/2012 0:00,225.2899933,229.3899994,228.2899933,4170000
44,224.7200012,7/23/2012 0:00,221.5399933,226.5800018,226.0099945,5515100
45,226.2700043,7/24/2012 0:00,221.2299957,226.6100006,223.0399933,5008700
46,222,7/25/2012 0:00,215.9100037,222.5,217.0500031,3646700
47,220,7/26/2012 0:00,214.9499969,221.4499969,220.0099945,6937400
48,225.25,7/27/2012 0:00,224.5,238.3399963,237.3200073,11313900
49,237,7/30/2012 0:00,234.0700073,240.7400055,236.0899963,3736400
50,235.1000061,7/31/2012 0:00,231.6100006,236.3000031,233.3000031,3453600
